Apartment Name,Average Rating,Latitude,Longitude,Price,Discount,Save money,Character,Room Type,Pets_allowed,Free canceled,Amenities,URL
Room in Pittsburgh,4.9 (187),40.48147,-80.03098,$61,No,0,420 friendly Master Suite w bath tv & jet tub,private_room,No,No,,https://airbnb.com/rooms/47561620
Home in Pittsburgh,5.0 (4),40.45501,-79.99472,$105,No,0,Private Parking • Charming Getaway,entire_home,No,No,,https://airbnb.com/rooms/1238778211295802250
Home in Pittsburgh,4.92 (366),40.47329,-80.02758,$77,No,0,"Cozy escape close to downtown, stadiums & parks",entire_home,No,No,,https://airbnb.com/rooms/41763524
Apartment in Bellevue,4.94 (53),40.49014,-80.054443,$97,No,0,New 1 bedroom garage apartment,entire_home,No,Yes,,https://airbnb.com/rooms/868660339302084619
Apartment in Pittsburgh,4.8 (286),40.46643,-79.95212,$90,Yes,15,Apt 7 Bloomfield/Lawrenceville private mini studio,entire_home,No,Yes,,https://airbnb.com/rooms/31218687
Room in Pittsburgh,4.92 (89),40.48316,-80.03681,$50,Yes,6,Kristin & Jared's Comfy Cozy Home,private_room,No,No,,https://airbnb.com/rooms/53905123
Home in Carnegie,New,40.40081,-80.08442,$96,No,0,The Carnegie. Off-Street Parking,entire_home,No,Yes,,https://airbnb.com/rooms/1239013421019557879
Apartment in Pittsburgh,4.92 (259),40.46047,-79.93956,$77,No,0,Cozy Entire AptA Friendship Park & free parking,entire_home,No,Yes,,https://airbnb.com/rooms/47825424
Home in Pittsburgh ,4.93 (254),40.46428,-79.99433,$75,Yes,23,"Cozy studio apartment, private entrance + porch",entire_home,No,Yes,,https://airbnb.com/rooms/1624456
Home in Pittsburgh,5.0 (23),40.45704,-79.99366,$105,Yes,43,Chic Northside Retreat,entire_home,No,Yes,,https://airbnb.com/rooms/1073196044910543202
Home in Pittsburgh,4.83 (381),40.45681,-80.00468,$67,Yes,33,Adorable North Side Carriage House,entire_home,No,Yes,,https://airbnb.com/rooms/30262616
